CD_MISSION,NM_PRIORITY,OID_FORKLIFT,FROM_X,FROM_Y,TO_X,TO_Y,DT_INSERT,DT_START,DT_UPDATE,DIFF,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,FROM_Z,TO_Z
"4,157,616",5,44,"246,340","425,843","263,756","409,759",4/3/2023 7:27,4/3/2023 7:35,4/3/2023 7:36,1,"1,232","1,000",1,4/3/2023 7:36,1,0,0
"4,157,623",5,44,"246,340","425,843","263,756","409,759",4/3/2023 7:29,4/3/2023 7:36,4/3/2023 7:38,1,"1,166","1,000",1,4/3/2023 7:37,0,0,0
"4,157,641",5,93,"246,340","425,843",909,1,4/3/2023 7:38,4/3/2023 7:42,4/3/2023 7:44,2,719,680,1,4/3/2023 7:43,1,0,0
"4,157,641",5,93,"246,340","425,843",909,1,4/3/2023 7:38,4/3/2023 7:42,4/3/2023 7:44,2,719,680,1,4/3/2023 7:43,1,0,0
"4,157,644",5,93,"246,340","425,843",909,15,4/3/2023 7:41,4/3/2023 7:44,4/3/2023 7:46,2,532,560,1,4/3/2023 7:45,1,0,0
"4,157,726",5,44,"246,340","425,843",900,16,4/3/2023 8:16,4/3/2023 8:25,4/3/2023 8:27,2,90,400,1,4/3/2023 8:26,1,0,0
"4,157,726",5,44,"246,340","425,843",900,16,4/3/2023 8:16,4/3/2023 8:25,4/3/2023 8:27,2,90,400,1,4/3/2023 8:26,1,0,0
"4,157,726",5,44,"246,340","425,843",900,16,4/3/2023 8:16,4/3/2023 8:25,4/3/2023 8:27,2,90,400,1,4/3/2023 8:26,1,0,0
"4,157,726",5,44,"246,340","425,843",900,16,4/3/2023 8:16,4/3/2023 8:25,4/3/2023 8:27,2,90,400,1,4/3/2023 8:26,1,0,0
"4,157,867",5,44,"246,340","425,843","232,963","375,258",4/3/2023 9:51,4/3/2023 9:58,4/3/2023 10:00,1,929,780,1,4/3/2023 9:59,1,0,0
"4,157,872",5,44,"246,340","425,843","256,658","421,399",4/3/2023 9:53,4/3/2023 10:00,4/3/2023 10:01,1,929,780,1,4/3/2023 10:00,0,0,0
"4,157,933",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:14,4/3/2023 10:21,4/3/2023 10:22,2,929,780,1,4/3/2023 10:21,1,0,0
"4,157,935",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:15,4/3/2023 10:22,4/3/2023 10:23,1,929,820,1,4/3/2023 10:22,0,0,0
"4,157,937",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:18,4/3/2023 10:23,4/3/2023 10:26,3,929,800,1,4/3/2023 10:25,2,0,0
"4,157,946",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:24,4/3/2023 10:26,4/3/2023 10:29,4,929,820,1,4/3/2023 10:29,3,0,0
"4,157,954",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:29,4/3/2023 10:32,4/3/2023 10:35,2,929,800,1,4/3/2023 10:34,2,0,0
"4,157,996",5,44,"246,340","425,843","256,658","421,399",4/3/2023 10:49,4/3/2023 10:54,4/3/2023 10:55,2,950,800,1,4/3/2023 10:54,1,0,0
"4,158,009",5,44,"246,340","425,843","232,963","375,258",4/3/2023 10:51,4/3/2023 10:55,4/3/2023 10:58,2,929,800,1,4/3/2023 10:57,1,0,0
"4,158,019",5,44,"246,340","425,843","256,760","422,799",4/3/2023 10:57,4/3/2023 11:04,4/3/2023 11:07,3,929,820,1,4/3/2023 11:06,2,0,0
"4,158,051",5,44,"246,340","425,843","210,792","369,330",4/3/2023 11:06,4/3/2023 11:16,4/3/2023 11:18,2,950,780,1,4/3/2023 11:17,1,0,0
"4,158,071",5,44,"246,340","425,843","256,863","424,195",4/3/2023 11:13,4/3/2023 11:18,4/3/2023 11:19,1,950,780,1,4/3/2023 11:18,0,0,0
"4,158,074",5,44,"246,340","425,843","256,760","422,799",4/3/2023 11:15,4/3/2023 11:19,4/3/2023 11:20,2,929,820,1,4/3/2023 11:20,1,0,0
"4,158,080",5,44,"246,340","425,843","256,863","424,195",4/3/2023 11:19,4/3/2023 11:23,4/3/2023 11:24,1,"1,091","1,040",1,4/3/2023 11:24,1,0,0
"4,158,083",5,44,"246,340","425,843","241,219","370,062",4/3/2023 11:21,4/3/2023 11:24,4/3/2023 11:26,1,"1,091","1,040",1,4/3/2023 11:25,0,0,0
"4,158,086",5,44,"246,340","425,843",905,3,4/3/2023 11:23,4/3/2023 11:26,4/3/2023 11:28,2,255,820,1,4/3/2023 11:27,1,0,0
"4,158,098",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:27,4/3/2023 11:31,4/3/2023 11:32,1,963,800,1,4/3/2023 11:31,0,0,0
"4,158,100",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:28,4/3/2023 11:32,4/3/2023 11:34,2,963,800,1,4/3/2023 11:33,1,0,0
"4,158,105",5,44,"246,340","425,843","241,219","370,062",4/3/2023 11:29,4/3/2023 11:34,4/3/2023 11:36,2,"1,091","1,020",1,4/3/2023 11:35,1,0,0
"4,158,111",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:30,4/3/2023 11:36,4/3/2023 11:39,3,963,780,1,4/3/2023 11:38,2,0,0
"4,158,124",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:33,4/3/2023 11:39,4/3/2023 11:41,2,963,780,1,4/3/2023 11:40,1,0,0
"4,158,125",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:34,4/3/2023 11:41,4/3/2023 11:43,2,963,780,1,4/3/2023 11:42,1,0,0
"4,158,128",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:35,4/3/2023 11:43,4/3/2023 11:47,4,963,800,1,4/3/2023 11:46,3,0,0
"4,158,138",5,44,"246,340","425,843","285,181","437,814",4/3/2023 11:38,4/3/2023 11:47,4/3/2023 11:49,2,963,780,1,4/3/2023 11:48,1,0,0
"4,158,143",5,27,"246,340","425,843",905,7,4/3/2023 11:41,4/3/2023 11:47,4/3/2023 11:49,2,337,780,1,4/3/2023 11:48,1,0,0
"4,158,154",5,27,"246,340","425,843","285,181","437,814",4/3/2023 11:47,4/3/2023 11:51,4/3/2023 11:53,2,963,800,1,4/3/2023 11:52,1,0,0
"4,158,157",5,44,"246,340","425,843","210,149","372,186",4/3/2023 11:49,4/3/2023 11:52,4/3/2023 11:53,2,929,780,1,4/3/2023 11:52,1,0,0
"4,158,160",5,27,"246,340","425,843","256,863","424,195",4/3/2023 11:49,4/3/2023 11:53,4/3/2023 11:54,1,"1,091","1,040",1,4/3/2023 11:54,0,0,0
"4,158,170",5,44,"246,340","425,843","347,161","432,690",4/3/2023 11:51,4/3/2023 11:53,4/3/2023 12:00,6,938,760,1,4/3/2023 11:58,5,0,0
"4,158,171",5,27,"246,340","425,843","210,149","372,186",4/3/2023 11:52,4/3/2023 11:54,4/3/2023 11:56,1,929,820,1,4/3/2023 11:54,0,0,0
"4,158,175",5,27,"246,340","425,843","347,161","432,690",4/3/2023 11:53,4/3/2023 11:56,4/3/2023 11:58,2,938,760,1,4/3/2023 11:56,1,0,0
"4,158,177",5,44,"246,340","425,843","241,219","370,062",4/3/2023 11:54,4/3/2023 12:00,4/3/2023 12:02,3,"1,091","1,040",1,4/3/2023 12:01,1,0,0
"4,158,184",5,27,"246,340","425,843",903,15,4/3/2023 11:56,4/3/2023 12:02,4/3/2023 12:05,2,938,760,1,4/3/2023 12:04,1,0,0
"4,158,186",5,44,"246,340","425,843","241,219","370,062",4/3/2023 11:57,4/3/2023 12:02,4/3/2023 12:04,2,"1,091","1,060",1,4/3/2023 12:03,1,0,0
"4,158,168",6,45,"301,937","829,948","236,034","747,455",4/3/2023 11:51,4/3/2023 12:03,4/3/2023 12:09,6,0,398,4,4/3/2023 12:08,5,0,0
"4,158,192",5,44,"246,340","425,843","210,149","372,186",4/3/2023 12:02,4/3/2023 12:07,4/3/2023 12:09,2,929,800,1,4/3/2023 12:07,1,0,0
"4,158,235",6,45,"275,820","907,564","236,034","747,455",4/3/2023 12:37,4/3/2023 12:37,4/3/2023 12:44,7,0,288,4,4/3/2023 12:42,4,0,0
"4,158,233",5,44,"246,340","425,843",909,14,4/3/2023 12:36,4/3/2023 12:45,4/3/2023 12:47,2,23,220,7,4/3/2023 12:46,1,0,0
"4,158,251",5,44,"246,340","425,843",902,14,4/3/2023 12:49,4/3/2023 12:53,4/3/2023 12:56,3,43,260,7,4/3/2023 12:55,1,0,0
"4,158,254",5,44,"246,340","425,843","276,058","421,571",4/3/2023 12:52,4/3/2023 12:58,4/3/2023 13:00,2,616,600,1,4/3/2023 12:59,1,0,0
"4,158,258",5,44,"246,340","425,843","276,058","421,571",4/3/2023 12:53,4/3/2023 13:00,4/3/2023 13:02,2,616,600,1,4/3/2023 13:01,1,0,0
"4,158,263",5,44,"246,340","425,843","277,718","443,910",4/3/2023 12:55,4/3/2023 13:04,4/3/2023 13:07,3,594,600,1,4/3/2023 13:05,1,0,0
"4,158,269",5,44,"246,340","425,843","277,718","443,910",4/3/2023 13:01,4/3/2023 13:09,4/3/2023 13:12,3,616,600,1,4/3/2023 13:11,2,0,0
"4,158,272",5,44,"246,340","425,843",909,13,4/3/2023 13:03,4/3/2023 13:12,4/3/2023 13:14,2,500,560,1,4/3/2023 13:13,0,0,0
"4,158,273",5,44,"246,340","425,843","277,718","443,910",4/3/2023 13:04,4/3/2023 13:14,4/3/2023 13:15,2,616,620,1,4/3/2023 13:15,1,0,0
"4,158,277",5,44,"246,340","425,843",903,8,4/3/2023 13:06,4/3/2023 13:15,4/3/2023 13:17,2,657,660,1,4/3/2023 13:16,1,0,0
"4,158,282",5,44,"246,340","425,843",902,16,4/3/2023 13:09,4/3/2023 13:17,4/3/2023 13:19,2,638,600,1,4/3/2023 13:18,1,0,0
"4,158,285",5,44,"246,340","425,843",909,3,4/3/2023 13:11,4/3/2023 13:19,4/3/2023 13:22,3,375,500,1,4/3/2023 13:20,1,0,0
"4,158,286",5,44,"246,340","425,843","277,718","443,910",4/3/2023 13:13,4/3/2023 13:22,4/3/2023 13:24,2,616,600,1,4/3/2023 13:23,1,0,0
"4,158,271",0,45,"235,943","745,770","209,816","723,599",4/3/2023 13:02,4/3/2023 13:24,4/3/2023 13:25,1,890,562,4,4/3/2023 13:24,1,0,0
"4,158,288",5,44,"246,340","425,843","284,658","430,833",4/3/2023 13:15,4/3/2023 13:24,4/3/2023 13:25,1,484,600,1,4/3/2023 13:24,1,0,0
"4,158,290",5,44,"246,340","425,843",906,9,4/3/2023 13:17,4/3/2023 13:25,4/3/2023 13:27,2,21,220,7,4/3/2023 13:26,1,0,0
"4,158,292",5,44,"246,340","425,843","284,658","430,833",4/3/2023 13:19,4/3/2023 13:27,4/3/2023 13:28,2,616,600,1,4/3/2023 13:28,1,0,0
"4,158,298",5,44,"246,340","425,843","284,658","430,833",4/3/2023 13:20,4/3/2023 13:29,4/3/2023 13:30,1,616,580,1,4/3/2023 13:29,1,0,0
"4,158,301",5,44,"246,340","425,843",909,3,4/3/2023 13:23,4/3/2023 13:30,4/3/2023 13:32,2,726,720,1,4/3/2023 13:31,1,0,0
"4,158,303",5,44,"246,340","425,843",905,8,4/3/2023 13:25,4/3/2023 13:32,4/3/2023 13:34,2,600,640,1,4/3/2023 13:33,1,0,0
"4,158,303",5,44,"246,340","425,843",905,8,4/3/2023 13:25,4/3/2023 13:32,4/3/2023 13:34,2,600,640,1,4/3/2023 13:33,1,0,0
"4,158,303",5,44,"246,340","425,843",905,8,4/3/2023 13:25,4/3/2023 13:32,4/3/2023 13:34,2,600,640,1,4/3/2023 13:33,1,0,0
"4,158,307",5,44,"246,340","425,843","284,658","430,833",4/3/2023 13:27,4/3/2023 13:34,4/3/2023 13:35,2,616,600,1,4/3/2023 13:35,1,0,0
"4,158,309",5,44,"246,340","425,843",905,1,4/3/2023 13:28,4/3/2023 13:35,4/3/2023 13:37,1,753,720,1,4/3/2023 13:36,1,0,0
"4,158,309",5,44,"246,340","425,843",905,1,4/3/2023 13:28,4/3/2023 13:35,4/3/2023 13:37,1,753,720,1,4/3/2023 13:36,1,0,0
"4,158,309",5,44,"246,340","425,843",905,1,4/3/2023 13:28,4/3/2023 13:35,4/3/2023 13:37,1,753,720,1,4/3/2023 13:36,1,0,0
"4,158,312",5,44,"246,340","425,843",902,16,4/3/2023 13:30,4/3/2023 13:37,4/3/2023 13:39,2,929,780,1,4/3/2023 13:38,1,0,0
"4,158,321",5,44,"246,340","425,843","274,917","406,214",4/3/2023 13:35,4/3/2023 13:46,4/3/2023 13:48,2,"1,062","1,000",1,4/3/2023 13:47,1,0,0
"4,158,323",5,44,"246,340","425,843","274,917","406,214",4/3/2023 13:37,4/3/2023 13:48,4/3/2023 13:50,2,"1,062","1,020",1,4/3/2023 13:49,1,0,0
"4,158,325",5,44,"246,340","425,843","274,917","406,214",4/3/2023 13:38,4/3/2023 13:50,4/3/2023 13:52,2,948,"1,020",1,4/3/2023 13:51,1,0,0
"4,158,328",5,44,"246,340","425,843","281,698","438,070",4/3/2023 13:40,4/3/2023 13:52,4/3/2023 13:53,2,950,760,1,4/3/2023 13:52,1,0,0
"4,158,331",5,44,"246,340","425,843","210,149","372,186",4/3/2023 13:41,4/3/2023 13:53,4/3/2023 13:56,2,929,820,1,4/3/2023 13:54,1,0,0
"4,158,344",5,44,"246,340","425,843",903,10,4/3/2023 13:48,4/3/2023 13:56,4/3/2023 13:58,2,63,280,1,4/3/2023 13:57,1,0,0
"4,158,344",5,44,"246,340","425,843",903,10,4/3/2023 13:48,4/3/2023 13:56,4/3/2023 13:58,2,63,280,1,4/3/2023 13:57,1,0,0
"4,158,351",5,44,"246,340","425,843",902,14,4/3/2023 13:52,4/3/2023 13:59,4/3/2023 14:01,2,"1,028",760,1,4/3/2023 14:00,1,0,0
"4,158,351",5,44,"246,340","425,843",902,14,4/3/2023 13:52,4/3/2023 13:59,4/3/2023 14:01,2,"1,028",760,1,4/3/2023 14:00,1,0,0
"4,158,351",5,44,"246,340","425,843",902,14,4/3/2023 13:52,4/3/2023 13:59,4/3/2023 14:01,2,"1,028",760,1,4/3/2023 14:00,1,0,0
"4,158,351",5,44,"246,340","425,843",902,14,4/3/2023 13:52,4/3/2023 13:59,4/3/2023 14:01,2,"1,028",760,1,4/3/2023 14:00,1,0,0
"4,158,351",5,44,"246,340","425,843",902,14,4/3/2023 13:52,4/3/2023 13:59,4/3/2023 14:01,2,"1,028",760,1,4/3/2023 14:00,1,0,0
"4,158,358",6,45,"286,968","825,903","238,630","747,302",4/3/2023 13:56,4/3/2023 14:01,4/3/2023 14:07,6,0,178,4,4/3/2023 14:03,3,0,0
"4,158,353",5,44,"246,340","425,843",906,10,4/3/2023 13:53,4/3/2023 14:01,4/3/2023 14:03,2,130,340,1,4/3/2023 14:02,1,0,0
"4,158,353",5,44,"246,340","425,843",906,10,4/3/2023 13:53,4/3/2023 14:01,4/3/2023 14:03,2,130,340,1,4/3/2023 14:02,1,0,0
"4,158,355",5,44,"246,340","425,843",905,14,4/3/2023 13:55,4/3/2023 14:03,4/3/2023 14:04,2,56,220,1,4/3/2023 14:03,1,0,0
"4,158,355",5,44,"246,340","425,843",905,14,4/3/2023 13:55,4/3/2023 14:03,4/3/2023 14:04,2,56,220,1,4/3/2023 14:03,1,0,0
"4,158,360",5,44,"246,340","425,843","281,698","438,070",4/3/2023 13:58,4/3/2023 14:04,4/3/2023 14:06,1,950,800,1,4/3/2023 14:05,1,0,0
"4,158,362",5,44,"246,340","425,843",905,5,4/3/2023 13:59,4/3/2023 14:06,4/3/2023 14:07,2,569,680,1,4/3/2023 14:06,1,0,0
"4,158,365",5,43,"246,340","425,843",908,1,4/3/2023 14:01,4/3/2023 14:07,4/3/2023 14:09,2,777,740,1,4/3/2023 14:08,1,0,0
"4,158,365",5,43,"246,340","425,843",908,1,4/3/2023 14:01,4/3/2023 14:07,4/3/2023 14:09,2,777,740,1,4/3/2023 14:08,1,0,0
"4,158,365",5,43,"246,340","425,843",908,1,4/3/2023 14:01,4/3/2023 14:07,4/3/2023 14:09,2,777,740,1,4/3/2023 14:08,1,0,0
"4,158,364",6,45,"211,818","844,872","236,034","747,455",4/3/2023 14:00,4/3/2023 14:07,4/3/2023 14:10,3,0,163,4,4/3/2023 14:09,2,0,0
"4,158,368",5,44,"246,340","425,843",906,10,4/3/2023 14:02,4/3/2023 14:07,4/3/2023 14:09,2,72,260,1,4/3/2023 14:08,1,0,0
"4,158,371",5,43,"246,340","425,843",907,10,4/3/2023 14:04,4/3/2023 14:09,4/3/2023 14:10,2,62,260,1,4/3/2023 14:09,1,0,0
"4,158,371",5,43,"246,340","425,843",907,10,4/3/2023 14:04,4/3/2023 14:09,4/3/2023 14:10,2,62,260,1,4/3/2023 14:09,1,0,0
"4,158,375",5,44,"246,340","425,843",907,12,4/3/2023 14:06,4/3/2023 14:09,4/3/2023 14:11,2,70,260,1,4/3/2023 14:10,1,0,0
"4,158,376",5,43,"246,340","425,843","256,863","424,195",4/3/2023 14:07,4/3/2023 14:10,4/3/2023 14:11,1,615,800,1,4/3/2023 14:11,1,0,0
"4,158,376",5,43,"246,340","425,843","256,863","424,195",4/3/2023 14:07,4/3/2023 14:10,4/3/2023 14:11,1,615,800,1,4/3/2023 14:11,1,0,0
"4,158,380",5,44,"246,340","425,843","210,149","372,186",4/3/2023 14:08,4/3/2023 14:11,4/3/2023 14:13,2,929,800,1,4/3/2023 14:12,1,0,0
"4,158,382",5,43,"246,340","425,843",908,12,4/3/2023 14:09,4/3/2023 14:11,4/3/2023 14:12,1,38,240,1,4/3/2023 14:12,0,0,0
"4,158,385",5,43,"246,340","425,843",909,13,4/3/2023 14:10,4/3/2023 14:12,4/3/2023 14:14,1,57,280,1,4/3/2023 14:13,1,0,0
"4,158,389",5,44,"246,340","425,843",901,1,4/3/2023 14:12,4/3/2023 14:13,4/3/2023 14:15,2,607,760,1,4/3/2023 14:14,1,0,0
"4,158,394",5,43,"246,340","425,843",902,14,4/3/2023 14:14,4/3/2023 14:14,4/3/2023 14:16,2,94,320,1,4/3/2023 14:15,1,0,0
"4,158,398",5,44,"246,340","425,843",901,5,4/3/2023 14:15,4/3/2023 14:15,4/3/2023 14:17,2,569,640,1,4/3/2023 14:16,1,0,0
"4,158,402",5,43,"246,340","425,843",903,14,4/3/2023 14:17,4/3/2023 14:17,4/3/2023 14:18,1,968,800,1,4/3/2023 14:17,0,0,0
"4,158,402",5,43,"246,340","425,843",903,14,4/3/2023 14:17,4/3/2023 14:17,4/3/2023 14:18,1,968,800,1,4/3/2023 14:17,0,0,0
"4,158,402",5,43,"246,340","425,843",903,14,4/3/2023 14:17,4/3/2023 14:17,4/3/2023 14:18,1,968,800,1,4/3/2023 14:17,0,0,0
"4,158,402",5,43,"246,340","425,843",903,14,4/3/2023 14:17,4/3/2023 14:17,4/3/2023 14:18,1,968,800,1,4/3/2023 14:17,0,0,0
"4,158,402",5,43,"246,340","425,843",903,14,4/3/2023 14:17,4/3/2023 14:17,4/3/2023 14:18,1,968,800,1,4/3/2023 14:17,0,0,0
"4,158,408",5,43,"246,340","425,843",901,10,4/3/2023 14:18,4/3/2023 14:18,4/3/2023 14:19,1,418,520,1,4/3/2023 14:18,1,0,0
"4,158,408",5,43,"246,340","425,843",901,10,4/3/2023 14:18,4/3/2023 14:18,4/3/2023 14:19,1,418,520,1,4/3/2023 14:18,1,0,0
"4,158,408",5,43,"246,340","425,843",901,10,4/3/2023 14:18,4/3/2023 14:18,4/3/2023 14:19,1,418,520,1,4/3/2023 14:18,1,0,0
"4,158,408",5,43,"246,340","425,843",901,10,4/3/2023 14:18,4/3/2023 14:18,4/3/2023 14:19,1,418,520,1,4/3/2023 14:18,1,0,0
"4,158,413",5,44,"246,340","425,843",903,13,4/3/2023 14:19,4/3/2023 14:19,4/3/2023 14:21,2,39,300,1,4/3/2023 14:20,1,0,0
"4,158,413",5,44,"246,340","425,843",903,13,4/3/2023 14:19,4/3/2023 14:19,4/3/2023 14:21,2,39,300,1,4/3/2023 14:20,1,0,0
"4,158,415",5,43,"246,340","425,843",903,13,4/3/2023 14:20,4/3/2023 14:20,4/3/2023 14:21,1,63,260,1,4/3/2023 14:21,0,0,0
"4,158,415",5,43,"246,340","425,843",903,13,4/3/2023 14:20,4/3/2023 14:20,4/3/2023 14:21,1,63,260,1,4/3/2023 14:21,0,0,0
"4,158,417",5,43,"246,340","425,843",903,13,4/3/2023 14:22,4/3/2023 14:22,4/3/2023 14:23,2,96,300,7,4/3/2023 14:22,0,0,0
"4,158,422",5,44,"246,340","425,843",903,15,4/3/2023 14:23,4/3/2023 14:23,4/3/2023 14:26,3,63,240,1,4/3/2023 14:25,2,0,0
"4,158,424",5,43,"246,340","425,843",903,14,4/3/2023 14:24,4/3/2023 14:24,4/3/2023 14:25,1,100,260,1,4/3/2023 14:24,0,0,0
"4,158,425",8,43,"241,569","416,461",903,15,4/3/2023 14:25,4/3/2023 14:25,4/3/2023 14:27,1,43,260,1,4/3/2023 14:26,1,0,0
"4,158,425",8,43,"241,569","416,461",903,15,4/3/2023 14:25,4/3/2023 14:25,4/3/2023 14:27,1,43,260,1,4/3/2023 14:26,1,0,0
"4,158,426",5,44,"246,340","425,843",903,16,4/3/2023 14:25,4/3/2023 14:26,4/3/2023 14:29,3,279,390,1,4/3/2023 14:28,2,0,0
"4,158,427",8,43,"241,569","416,461",901,13,4/3/2023 14:26,4/3/2023 14:27,4/3/2023 14:28,2,425,580,1,4/3/2023 14:27,1,0,0
"4,158,427",8,43,"241,569","416,461",901,13,4/3/2023 14:26,4/3/2023 14:27,4/3/2023 14:28,2,425,580,1,4/3/2023 14:27,1,0,0
"4,158,432",8,43,"241,569","416,461",903,16,4/3/2023 14:27,4/3/2023 14:28,4/3/2023 14:30,1,31,230,1,4/3/2023 14:29,1,0,0
"4,158,436",8,44,"241,569","416,461","210,149","372,186",4/3/2023 14:27,4/3/2023 14:29,4/3/2023 14:30,2,929,820,1,4/3/2023 14:29,1,0,0
"4,158,440",8,43,"241,569","416,461",904,16,4/3/2023 14:29,4/3/2023 14:30,4/3/2023 14:31,2,154,310,1,4/3/2023 14:30,1,0,0
"4,158,439",5,44,"246,340","425,843",905,2,4/3/2023 14:29,4/3/2023 14:30,4/3/2023 14:32,2,657,680,1,4/3/2023 14:31,1,0,0
"4,158,442",6,45,"239,793","855,341","233,414","747,220",4/3/2023 14:31,4/3/2023 14:31,4/3/2023 14:36,5,475,700,4,4/3/2023 14:35,3,0,0
"4,158,444",8,43,"241,569","416,461",900,8,4/3/2023 14:31,4/3/2023 14:31,4/3/2023 14:33,1,169,450,1,4/3/2023 14:32,1,0,0
"4,158,446",5,44,"246,340","425,843",905,13,4/3/2023 14:31,4/3/2023 14:32,4/3/2023 14:35,3,114,320,1,4/3/2023 14:34,2,0,0
"4,158,450",5,43,"246,340","425,843",904,16,4/3/2023 14:32,4/3/2023 14:33,4/3/2023 14:34,1,281,400,1,4/3/2023 14:33,0,0,0
"4,158,453",8,43,"241,569","416,461",905,14,4/3/2023 14:34,4/3/2023 14:34,4/3/2023 14:36,1,63,250,1,4/3/2023 14:35,1,0,0
"4,158,454",5,44,"246,340","425,843",905,1,4/3/2023 14:34,4/3/2023 14:35,4/3/2023 14:37,2,834,"1,040",1,4/3/2023 14:36,1,0,0
"4,158,451",6,45,"293,001","821,297","241,107","746,808",4/3/2023 14:33,4/3/2023 14:36,4/3/2023 14:41,5,0,232,4,4/3/2023 14:39,3,0,0
"4,158,456",5,43,"246,340","425,843","210,149","372,186",4/3/2023 14:36,4/3/2023 14:36,4/3/2023 14:37,1,929,800,1,4/3/2023 14:36,0,0,0
"4,158,459",5,44,"246,340","425,843",901,7,4/3/2023 14:37,4/3/2023 14:37,4/3/2023 14:39,2,297,460,1,4/3/2023 14:38,1,0,0
"4,158,459",5,44,"246,340","425,843",901,7,4/3/2023 14:37,4/3/2023 14:37,4/3/2023 14:39,2,297,460,1,4/3/2023 14:38,1,0,0
"4,158,459",5,44,"246,340","425,843",901,7,4/3/2023 14:37,4/3/2023 14:37,4/3/2023 14:39,2,297,460,1,4/3/2023 14:38,1,0,0
"4,158,465",5,44,"246,340","425,843",902,15,4/3/2023 14:38,4/3/2023 14:39,4/3/2023 14:41,2,31,260,1,4/3/2023 14:40,1,0,0
"4,158,468",5,44,"246,340","425,843",904,4,4/3/2023 14:41,4/3/2023 14:41,4/3/2023 14:43,1,650,780,1,4/3/2023 14:42,1,0,0
"4,158,471",0,45,"241,025","745,305","209,816","723,599",4/3/2023 14:42,4/3/2023 14:42,4/3/2023 15:40,57,202,232,4,4/3/2023 15:39,56,0,0
"4,158,474",5,44,"246,340","425,843",905,15,4/3/2023 14:45,4/3/2023 14:45,4/3/2023 14:47,2,70,360,7,4/3/2023 14:46,1,0,0
"4,158,476",5,44,"246,340","425,843",905,16,4/3/2023 14:46,4/3/2023 14:47,4/3/2023 14:52,5,8,220,1,4/3/2023 14:51,4,0,0
"4,158,477",5,44,"246,340","425,843",901,1,4/3/2023 14:47,4/3/2023 14:52,4/3/2023 14:54,2,320,440,1,4/3/2023 14:53,1,0,0
"4,158,488",5,44,"246,340","425,843",906,1,4/3/2023 14:52,4/3/2023 14:54,4/3/2023 14:55,2,363,780,1,4/3/2023 14:54,1,0,0
"4,158,494",5,44,"246,340","425,843","210,149","372,186",4/3/2023 14:59,4/3/2023 14:59,4/3/2023 15:01,2,853,820,1,4/3/2023 15:00,1,0,0
"4,158,495",5,44,"246,340","425,843",900,15,4/3/2023 15:00,4/3/2023 15:01,4/3/2023 15:03,2,427,520,1,4/3/2023 15:02,1,0,0
