CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3912556,194,373,242,416,1,55
3912556,3911722,194,370,246,426,1,55
3911722,3912495,194,373,114,188,1,192
3912495,3911722,353,412,246,426,1,192
3911722,3912561,194,373,242,416,1,55
3912561,3911722,194,370,246,426,1,55
3911722,3912564,194,373,242,416,1,55
3912564,3911722,194,370,246,426,1,55
3911722,3912573,194,373,242,416,1,55
3912573,3911722,194,370,246,426,1,55
3911722,3912549,194,373,156,334,1,58
3912549,3911722,402,427,246,426,1,58
3911722,3912576,194,373,242,416,1,55
3912576,3911722,194,372,246,426,1,55
3911722,3912377,194,373,246,426,1,59
3912377,3911722,194,370,246,426,1,59
3911722,3912313,194,373,207,217,1,157
3912313,3911722,144,391,246,426,1,157
3911722,3912580,194,373,242,416,1,55
3912580,3911722,212,368,246,426,1,55
3911722,3912585,194,373,242,416,1,55
3912585,3911722,194,370,246,426,1,55
3911722,3912494,194,373,246,426,1,59
3912494,3911722,194,370,246,426,1,59
3911722,3912583,194,373,156,334,1,58
3912583,3911722,402,427,246,426,1,58
3911722,3912591,194,373,242,416,1,55
3912591,3911722,1,230,246,426,1,55
3911722,3912594,194,373,242,416,1,55
3912594,3911722,194,370,246,426,1,55
3911722,3912603,194,373,242,416,1,55
3912603,3911722,194,370,246,426,1,55
3911722,3912490,194,373,91,328,1,131
3912490,3911722,343,434,246,426,1,131
3911722,3912605,194,373,242,416,1,55
3912605,3911722,194,372,246,426,1,55
3911722,3912604,194,373,156,334,1,58
3912604,3911722,402,427,246,426,1,58
3911722,3912608,194,373,242,416,1,55
3912608,3911722,194,370,246,426,1,55
3911722,3912438,194,373,149,441,1,0
3912438,3911722,212,368,246,426,1,0
3911722,3912615,194,373,242,416,1,55
3912615,3911722,194,370,246,426,1,55
3911722,3912614,194,373,91,328,1,131
3912614,3911722,343,434,246,426,1,131
3911722,3912616,194,373,156,334,1,58
3912616,3911722,402,427,246,426,1,58
3911722,3912626,194,373,242,416,1,55
3912626,3911722,194,370,246,426,1,55
3911722,3912450,194,373,280,470,1,145
3912450,3911722,402,427,246,426,1,145
3911722,3912631,194,373,242,416,1,55
3912631,3911722,194,370,246,426,1,55
3911722,3912498,194,373,246,426,1,59
3912498,3911722,194,370,246,426,1,59
3911722,3912637,194,373,242,416,1,55
3912637,3911722,1,230,246,426,1,55
3911722,3912628,194,373,91,328,1,131
3912628,3911722,343,434,246,426,1,131
3911722,3912639,194,373,280,470,1,145
3912639,3911722,397,419,246,426,1,145
3911722,3912643,194,373,242,416,1,55
3912643,3911722,1,230,246,426,1,55
3911722,3912511,194,373,246,426,1,59
3912511,3911722,194,372,246,426,1,59
3911722,3912645,194,373,91,328,1,131
3912645,3911722,343,434,246,426,1,131
3911722,3912642,194,373,149,441,1,0
3912642,3911722,212,368,246,426,1,0
3911722,3912442,194,373,298,469,1,162
3912442,3911722,230,454,246,426,1,162
3911722,3912523,194,373,246,426,1,59
3912523,3911722,194,370,246,426,1,59
3911722,3912659,194,373,91,328,1,131
3912659,3911722,343,434,246,426,1,131
3911722,3912663,194,373,242,416,1,55
3912663,3911722,1,230,246,426,1,55
3911722,3912666,194,373,242,416,1,55
3912666,3911722,1,230,246,426,1,55
3911722,3912674,194,373,242,416,1,55
3912674,3911722,194,370,246,426,1,55
3911722,3912678,194,373,242,416,1,55
3912678,3911722,1,230,246,426,1,55
3911722,3912680,194,373,242,416,1,55
3912680,3911722,1,230,246,426,1,55
3911722,3912686,194,373,242,416,1,55
3912686,3911722,1,230,246,426,1,55
3911722,3912664,194,373,298,469,1,162
3912664,3911722,230,454,246,426,1,162
3911722,3912587,194,373,246,426,1,59
3912587,3911722,1,230,246,426,1,59
3911722,3912689,194,373,242,416,1,55
3912689,3911722,1,230,246,426,1,55
3911722,3912676,194,373,149,441,1,0
3912676,3911722,212,368,246,426,1,0
3911722,3911694,194,373,180,457,1,91
3911694,3911722,401,416,246,426,1,91
3911722,3912691,194,373,298,469,1,162
3912691,3911722,230,454,246,426,1,162
3911722,3912702,194,373,242,416,1,55
3912702,3911722,1,230,246,426,1,55
3911722,3912705,194,373,180,457,1,91
3912705,3911722,401,416,246,426,1,91
3911722,3912711,194,373,242,416,1,55
3912711,3911722,343,434,246,426,1,55
3911722,3912712,194,373,242,416,1,55
3912712,3911722,1,230,246,426,1,55
3911722,3912718,194,373,242,416,1,55
3912718,3911722,1,230,246,426,1,55
3911722,3912708,194,373,298,469,1,162
3912708,3911722,230,454,246,426,1,162
3911722,3912662,194,373,246,426,1,59
3912662,3911722,1,230,246,426,1,59
3911722,3912720,194,373,180,457,1,91
3912720,3911722,401,416,246,426,1,91
3911722,3912724,194,373,242,416,1,55
3912724,3911722,1,230,246,426,1,55
3911722,3912704,194,373,149,441,1,0
3912704,3911722,212,368,246,426,1,0
3911722,3912729,194,373,242,416,1,55
3912729,3911722,1,230,246,426,1,55
3911722,3912730,194,373,180,457,1,91
3912730,3911722,401,416,246,426,1,91
3911722,3912733,194,373,242,416,1,55
3912733,3911722,194,372,246,426,1,55
3911722,3912443,194,373,280,459,1,157
3912443,3911722,230,454,246,426,1,157
3911722,3912738,194,373,242,416,1,55
3912738,3911722,1,230,246,426,1,55
3911722,3912671,194,373,246,426,1,59
3912671,3911722,1,230,246,426,1,59
3911722,3912742,194,373,242,416,1,55
3912742,3911722,1,230,246,426,1,55
3911722,3912737,194,373,180,457,1,91
3912737,3911722,401,416,246,426,1,91
3911722,3912749,194,373,242,416,1,55
3912749,3911722,1,230,246,426,1,55
3911722,3912736,194,373,149,441,1,0
3912736,3911722,212,368,246,426,1,0
3911722,3912683,194,373,246,426,1,59
3912683,3911722,1,230,246,426,1,59
3911722,3912758,194,373,242,416,1,55
3912758,3911722,1,230,246,426,1,55
3911722,3912696,194,373,246,426,1,59
3912696,3911722,212,368,246,426,1,59
3911722,3911693,194,373,134,257,1,142
3911693,3911722,401,416,246,426,1,142
3911722,3912437,194,373,194,439,1,69
3912437,3911722,212,368,246,426,1,69
3911722,3912763,194,373,242,416,1,55
3912763,3911722,1,230,246,426,1,55
3911722,3912716,194,373,246,426,1,59
3912716,3911722,1,230,246,426,1,59
3911722,3912459,194,373,106,170,1,231
3912459,3911722,383,407,246,426,1,231
3911722,3912756,194,373,233,746,1,406
3912756,3911722,410,420,246,426,1,406
3911722,3912726,194,373,246,426,1,59
3912726,3911722,1,230,246,426,1,59
3911722,3912743,194,373,280,459,1,157
3912743,3911722,230,454,246,426,1,157
3911722,3912772,194,373,259,828,1,458
3912772,3911722,233,747,246,426,1,458
3911722,3912771,194,373,194,439,1,69
3912771,3911722,212,368,246,426,1,69
3911722,3912462,194,373,113,165,1,212
3912462,3911722,366,408,246,426,1,212
3911722,3912778,194,373,194,439,1,69
3912778,3911722,212,368,246,426,1,69
3911722,3912773,194,373,242,416,1,55
3912773,3911722,1,230,246,426,1,55
3911722,3912790,194,373,242,416,1,55
3912790,3911722,194,372,246,426,1,55
3911722,3912783,194,373,246,426,1,59
3912783,3911722,194,370,246,426,1,59
3911722,3912834,194,373,242,416,1,55
3912834,3911722,194,372,246,426,1,55
3911722,3911914,194,373,389,392,1,203
3911914,3911722,362,408,246,426,1,203
3911722,3912837,194,373,242,416,1,55
3912837,3911722,194,372,246,426,1,55
3911722,3912463,194,373,126,186,1,198
3912463,3911722,353,417,246,426,1,198
3911722,3912787,194,373,246,426,1,59
3912787,3911722,194,370,246,426,1,59
3911722,3912863,194,373,242,416,1,55
3912863,3911722,347,426,246,426,1,55
3911722,3912862,194,373,246,426,1,59
3912862,3911722,212,368,246,426,1,59
3911722,3912457,194,373,225,276,1,97
3912457,3911722,191,388,246,426,1,97
3911722,3912867,194,373,242,416,1,55
3912867,3911722,264,408,246,426,1,55
3911722,3912870,194,373,242,416,1,55
3912870,3911722,264,408,246,426,1,55
3911722,3912480,194,373,390,393,1,203
3912480,3911722,366,420,246,426,1,203
3911722,3912878,194,373,242,416,1,55
3912878,3911722,402,431,246,426,1,55
3911722,3912880,194,373,242,416,1,55
3912880,3911722,402,431,246,426,1,55
3911722,3912882,194,373,242,416,1,55
3912882,3911722,266,438,246,426,1,55
3911722,3912886,194,373,242,416,1,55
3912886,3911722,194,372,246,426,1,55
3911722,3912436,194,373,333,471,1,194
3912436,3911722,230,454,246,426,1,194
3911722,3912903,194,373,242,416,1,55
3912903,3911722,1,230,246,426,1,55
3911722,3912452,194,373,110,204,1,200
3912452,3911722,378,428,246,426,1,200
3911722,3912917,194,373,242,416,1,55
3912917,3911722,194,370,246,426,1,55
3911722,3912927,194,373,242,416,1,55
3912927,3911722,194,372,246,426,1,55
3911722,3912928,194,373,242,416,1,55
3912928,3911722,1,230,246,426,1,55
3911722,3912623,194,373,185,217,1,158
3912623,3911722,359,417,246,426,1,158
3911722,3912932,194,373,242,416,1,55
3912932,3911722,1,230,246,426,1,55
3911722,3912934,194,373,242,416,1,55
3912934,3911722,1,230,246,426,1,55
3911722,3912311,194,373,162,225,1,161
3912311,3911722,144,391,246,426,1,161
3911722,3912924,194,373,333,471,1,194
3912924,3911722,230,454,246,426,1,194
3911722,3912866,194,373,246,426,1,59
3912866,3911722,266,438,246,426,1,59
3911722,3911698,194,373,316,467,1,187
3911698,3911722,241,369,246,426,1,187
3911722,3912868,194,373,246,426,1,59
3912868,3911722,194,370,246,426,1,59
3911722,3912904,194,373,246,426,1,59
3912904,3911722,194,370,246,426,1,59
3911722,3911903,194,373,216,217,1,163
3911903,3911722,168,390,246,426,1,163
3911722,3911699,194,373,156,476,1,139
3911699,3911722,241,369,246,426,1,139
3911722,3912905,194,373,246,426,1,59
3912905,3911722,264,408,246,426,1,59
3911722,3911904,194,373,210,217,1,158
3911904,3911722,168,390,246,426,1,158
3911722,3912950,194,373,333,471,1,194
3912950,3911722,230,454,246,426,1,194
3911722,3911697,194,373,156,336,1,57
3911697,3911722,241,369,246,426,1,57
3911722,3912962,194,373,242,416,1,55
3912962,3911722,348,444,246,426,1,55
3911722,3912966,194,373,242,416,1,55
3912966,3911722,212,368,246,426,1,55
3911722,3911899,194,373,193,225,1,150
3911899,3911722,189,388,246,426,1,150
3911722,3912907,194,373,246,426,1,59
3912907,3911722,1,230,246,426,1,59
3911722,3912949,194,373,246,426,1,59
3912949,3911722,1,230,246,426,1,59
3911722,3912952,194,373,246,426,1,59
3912952,3911722,1,230,246,426,1,59
3911722,3912984,194,373,193,225,1,150
3912984,3911722,180,389,246,426,1,150
3911722,3912955,194,373,246,426,1,59
3912955,3911722,1,230,246,426,1,59
3911722,3912964,194,373,246,426,1,59
3912964,3911722,1,230,246,426,1,59
3911722,3912992,194,373,193,225,1,150
3912992,3911722,168,390,246,426,1,150
3911722,3912956,194,373,122,263,1,156
3912956,3911722,1,230,246,426,1,156
3911722,3912979,194,373,246,426,1,59
3912979,3911722,1,230,246,426,1,59
3911722,3912855,194,373,105,209,1,205
3912855,3911722,354,443,246,426,1,205
3911722,3912985,194,373,246,426,1,59
3912985,3911722,242,377,246,426,1,59
3911722,3912989,194,373,246,426,1,59
3912989,3911722,1,230,246,426,1,59
3911722,3912994,194,373,246,426,1,59
3912994,3911722,1,230,246,426,1,59
